Country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Bahamas;8076470000;8317830000;8881160000;8870090000;9055290000;9836200000;10167250000;10618340000;10526000000;9981960000;10095760000;10070450000;10720500000;10562800000;11176100000;11861900000
Bolivia (Plurinational State of);8397912525.26886;8141537877.06791;7905485146.44351;8082364816.16879;8773451751.5121;9549077918.69677;11451869202.1569;13120183207.6625;16674324661.8681;17339992193.7322;19649631308.1648;23963033429.4364;27084497481.9103;30659338885.6729;32996188017.3661;33000198248.3362
Côte d'Ivoire;16577533355.4395;16810536883.7177;18054384023.1093;21251755293.9537;23510577108.2304;24036917016.59;25281414472.9891;28760092034.4723;34078243426.009;33886814907.0346;34936305296.9689;36693712824.8232;36302305578.2487;42760237561.4396;48843008580.3288;45814637971.4745
Czechia;61828166496.0941;67808032979.5429;82196001050.7474;100090467581.268;119814434353.575;137143471328.274;156264095664.643;190183800884.018;236816485762.988;207434296805.33;209069940963.177;229562733398.948;208857719320.649;211685616592.931;209358834156.329;188033050459.881
Democratic Republic of the Congo;19088046305.7971;7438189100.33333;8728038525.14034;8937567059.87754;10297483481.223;11964484667.9102;14451902467.9315;16737071816.38;19788515873.8942;18648373312.4241;21565720044.4634;25839749198.8233;29306235826.3885;32679745297.6453;35909040265.9328;37917704900.0794
Democratic People's Republic of Korea;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Egypt;99838543960.0763;96684636118.5984;85146067415.7303;80288461538.4615;78782467532.4675;89600665557.4043;107426086956.522;130437828371.278;162818181818.182;189147005444.646;218983666061.706;235989672977.625;279116666666.667;288434108527.132;305595408895.265;329366576819.407
Eritrea;706370815.584416;752368495.512622;729321366.651861;870247703.182758;1109054005.43971;1098425900.74116;1211161879.6748;1317974491.05691;1380188800;1856695551.21951;1589515447.15447;2065001626.01626;NA;NA;NA;NA
Gambia;782915402.421095;687408804.630527;578236035.104279;487038821.611959;961900106.892751;1027702254.38664;1054113426.70947;1279704744.82781;1561763437.0325;1450140385.97229;1543292392.54605;1409694553.90934;1415006238.09509;1375608956.10386;1229460601.92174;1378176868.31568
Iran (Islamic Republic of);109591707802.216;126878750295.944;128626917503.72;153544751395.43;190043433964.841;226452138291.542;266298911661.144;349881601458.56;412336172446.849;416397025729.361;486807615326.147;626133114526.806;644035510447.901;492775565649.562;460382791826.34;408212918053.939
Kyrgyzstan;1369688498.06778;1525116370.27939;1605643104.73021;1919008090.49641;2211534585.0034;2460248026.17783;2834168889.42019;3802566170.81543;5139957784.91084;4690062255.12247;4794357795.07139;6197766118.59856;6605139933.41063;7335027591.91628;7468096566.71158;6678178340.45121
